date,store_id,product_category,product_name,units_sold,unit_price,customer_type,revenue
2025-01-01,S105,Grocery,Eggs,15,1180,Regular,17700
2025-01-01,S102,Electronics,Headphones,19,1288,Loyalty,24472
2025-01-01,S105,Grocery,Eggs,4,2969,Regular,11876
2025-01-01,S105,Grocery,Milk,2,2441,Regular,4882
2025-01-01,S102,Clothing,Jeans,21,1234,Regular,25914
2025-01-01,S105,Clothing,Jeans,12,2954,Loyalty,35448
2025-01-01,S102,Grocery,Bread,16,1856,Regular,29696
2025-01-01,S103,Clothing,Jacket,12,3688,Regular,44256
2025-01-01,S105,Electronics,Keyboard,19,696,Loyalty,13224
2025-01-01,S102,Electronics,Keyboard,4,650,Regular,2600
2025-01-01,S102,Clothing,Jeans,9,3467,Loyalty,31203
2025-01-01,S104,Clothing,Hoodie,15,3053,Loyalty,45795
2025-01-02,S103,Electronics,Smart Watch,14,3202,Regular,44828
2025-01-02,S104,Clothing,Hoodie,2,1071,Regular,2142
2025-01-02,S104,Clothing,Jeans,22,1550,Loyalty,34100
2025-01-02,S104,Clothing,Jeans,2,251,Regular,502
2025-01-02,S104,Clothing,Jacket,8,3846,Regular,30768
2025-01-02,S105,Electronics,Mouse,24,2314,Regular,55536
2025-01-02,S105,Electronics,Headphones,15,3934,Loyalty,59010
2025-01-02,S101,Electronics,Keyboard,24,1202,Regular,28848
2025-01-02,S103,Grocery,Bread,17,441,Loyalty,7497
2025-01-02,S103,Grocery,Rice,5,3611,Loyalty,18055
2025-01-02,S104,Clothing,T-Shirt,7,250,Regular,1750
2025-01-02,S105,Clothing,T-Shirt,3,2781,Regular,8343
2025-01-03,S103,Clothing,Jacket,1,3860,Loyalty,3860
2025-01-03,S103,Grocery,Milk,1,1078,Regular,1078
2025-01-03,S103,Grocery,Bread,9,256,Loyalty,2304
2025-01-03,S104,Clothing,Jeans,13,3812,Loyalty,49556
2025-01-03,S104,Grocery,Rice,4,1807,Loyalty,7228
2025-01-03,S105,Grocery,Bread,15,3292,Loyalty,49380
2025-01-03,S103,Electronics,Smart Watch,19,3207,Regular,60933
2025-01-03,S105,Clothing,Jeans,21,2743,Regular,57603
2025-01-03,S103,Clothing,Jeans,23,3469,Loyalty,79787
2025-01-03,S101,Grocery,Milk,1,1450,Loyalty,1450
2025-01-03,S104,Clothing,T-Shirt,13,1818,Loyalty,23634
2025-01-03,S103,Grocery,Milk,9,367,Loyalty,3303
2025-01-04,S102,Electronics,Keyboard,12,713,Loyalty,8556
2025-01-04,S101,Grocery,Milk,20,1186,Regular,23720
2025-01-04,S104,Electronics,Mouse,12,3631,Loyalty,43572
2025-01-04,S101,Clothing,Jacket,5,3746,Regular,18730
2025-01-04,S101,Electronics,Keyboard,2,691,Regular,1382
2025-01-04,S105,Clothing,Jacket,1,2482,Loyalty,2482
2025-01-04,S105,Clothing,Jeans,12,2827,Regular,33924
2025-01-04,S104,Clothing,Hoodie,23,252,Regular,5796
2025-01-04,S105,Grocery,Rice,20,3731,Regular,74620
2025-01-04,S101,Clothing,Jacket,9,1197,Loyalty,10773
2025-01-04,S105,Clothing,Hoodie,3,709,Regular,2127
2025-01-04,S103,Grocery,Eggs,3,1584,Loyalty,4752
2025-01-05,S101,Grocery,Eggs,1,2009,Regular,2009
2025-01-05,S101,Grocery,Milk,11,2570,Regular,28270
2025-01-05,S102,Grocery,Bread,3,312,Regular,936
2025-01-05,S101,Clothing,Hoodie,20,3693,Loyalty,73860
2025-01-05,S104,Clothing,T-Shirt,5,3158,Regular,15790
2025-01-05,S101,Grocery,Bread,9,3220,Loyalty,28980
2025-01-05,S101,Grocery,Eggs,24,677,Loyalty,16248
2025-01-05,S104,Electronics,Smart Watch,6,153,Regular,918
2025-01-05,S101,Clothing,Jacket,3,2250,Loyalty,6750
2025-01-05,S102,Clothing,Hoodie,2,2919,Loyalty,5838
2025-01-05,S104,Electronics,Headphones,1,1653,Loyalty,1653
2025-01-05,S104,Clothing,T-Shirt,24,1969,Regular,47256
2025-01-06,S101,Grocery,Bread,1,2785,Regular,2785
2025-01-06,S105,Grocery,Bread,19,2535,Regular,48165
2025-01-06,S102,Grocery,Bread,21,847,Loyalty,17787
2025-01-06,S101,Grocery,Eggs,5,3117,Loyalty,15585
2025-01-06,S103,Grocery,Eggs,17,3633,Loyalty,61761
2025-01-06,S105,Clothing,T-Shirt,6,2196,Regular,13176
2025-01-06,S105,Electronics,Headphones,17,351,Loyalty,5967
2025-01-06,S104,Grocery,Bread,1,1189,Loyalty,1189
2025-01-06,S101,Electronics,Headphones,3,177,Regular,531
2025-01-06,S102,Electronics,Mouse,3,1945,Regular,5835
2025-01-06,S102,Clothing,Hoodie,10,1459,Regular,14590
2025-01-06,S101,Electronics,Smart Watch,9,3932,Regular,35388
2025-01-07,S102,Grocery,Rice,23,587,Loyalty,13501
2025-01-07,S105,Clothing,T-Shirt,7,3946,Regular,27622
2025-01-07,S101,Electronics,Smart Watch,8,2609,Regular,20872
2025-01-07,S103,Clothing,Hoodie,23,1216,Regular,27968
2025-01-07,S103,Clothing,Jeans,22,2411,Regular,53042
2025-01-07,S104,Clothing,T-Shirt,10,887,Loyalty,8870
2025-01-07,S104,Clothing,Jacket,5,3090,Regular,15450
2025-01-07,S104,Electronics,Smart Watch,12,54,Loyalty,648
2025-01-07,S104,Clothing,T-Shirt,15,2964,Loyalty,44460
2025-01-07,S104,Electronics,Mouse,10,1743,Loyalty,17430
2025-01-07,S103,Electronics,Smart Watch,23,1419,Loyalty,32637
2025-01-07,S101,Clothing,T-Shirt,12,1062,Loyalty,12744
2025-01-08,S101,Clothing,Jeans,15,2899,Regular,43485
2025-01-08,S101,Clothing,Jeans,8,3358,Loyalty,26864
2025-01-08,S105,Electronics,Smart Watch,7,753,Loyalty,5271
2025-01-08,S105,Electronics,Mouse,23,3197,Regular,73531
2025-01-08,S101,Grocery,Rice,14,1293,Loyalty,18102
2025-01-08,S104,Grocery,Rice,5,1277,Regular,6385
2025-01-08,S105,Clothing,Jeans,7,1685,Loyalty,11795
2025-01-08,S105,Clothing,Jeans,23,1835,Regular,42205
2025-01-08,S104,Clothing,T-Shirt,2,3301,Loyalty,6602
2025-01-08,S103,Clothing,Jeans,1,1065,Loyalty,1065
2025-01-08,S102,Electronics,Smart Watch,17,945,Regular,16065
2025-01-08,S104,Grocery,Eggs,18,3796,Regular,68328
2025-01-09,S105,Electronics,Headphones,19,3548,Loyalty,67412
2025-01-09,S101,Grocery,Rice,8,3963,Loyalty,31704
2025-01-09,S104,Electronics,Headphones,14,3374,Loyalty,47236
2025-01-09,S101,Clothing,Jacket,8,2702,Regular,21616
2025-01-09,S102,Clothing,Jeans,19,666,Loyalty,12654
2025-01-09,S102,Clothing,T-Shirt,13,3196,Loyalty,41548
2025-01-09,S105,Electronics,Headphones,4,3515,Loyalty,14060
2025-01-09,S103,Electronics,Smart Watch,17,1172,Regular,19924
2025-01-09,S105,Clothing,T-Shirt,12,3490,Loyalty,41880
2025-01-09,S101,Electronics,Keyboard,3,922,Regular,2766
2025-01-09,S104,Electronics,Headphones,16,778,Regular,12448
2025-01-09,S103,Electronics,Keyboard,17,1685,Regular,28645
2025-01-10,S103,Electronics,Headphones,12,314,Loyalty,3768
2025-01-10,S104,Clothing,Jacket,19,3627,Loyalty,68913
2025-01-10,S103,Electronics,Headphones,12,3146,Regular,37752
2025-01-10,S104,Grocery,Rice,21,3272,Regular,68712
2025-01-10,S105,Electronics,Keyboard,21,1115,Regular,23415
2025-01-10,S102,Grocery,Milk,5,3284,Loyalty,16420
2025-01-10,S103,Electronics,Keyboard,18,800,Regular,14400
2025-01-10,S102,Electronics,Mouse,12,3010,Loyalty,36120
2025-01-10,S105,Clothing,Jacket,8,2267,Loyalty,18136
2025-01-10,S102,Clothing,Jacket,2,1590,Loyalty,3180
2025-01-10,S103,Electronics,Mouse,8,1569,Loyalty,12552
2025-01-10,S104,Electronics,Mouse,17,560,Loyalty,9520
2025-01-11,S104,Electronics,Headphones,4,3191,Regular,12764
2025-01-11,S105,Grocery,Bread,12,1255,Loyalty,15060
2025-01-11,S102,Grocery,Milk,19,88,Regular,1672
2025-01-11,S105,Grocery,Rice,18,1293,Regular,23274
2025-01-11,S104,Clothing,Hoodie,8,878,Loyalty,7024
2025-01-11,S101,Electronics,Keyboard,3,2046,Regular,6138
2025-01-11,S104,Clothing,T-Shirt,17,3530,Regular,60010
2025-01-11,S105,Electronics,Mouse,6,2155,Regular,12930
2025-01-11,S105,Electronics,Smart Watch,15,1222,Regular,18330
2025-01-11,S103,Clothing,T-Shirt,5,1749,Loyalty,8745
2025-01-11,S101,Grocery,Eggs,18,2144,Loyalty,38592
2025-01-11,S101,Electronics,Mouse,21,3687,Regular,77427
2025-01-12,S101,Grocery,Eggs,11,1085,Regular,11935
2025-01-12,S104,Clothing,Hoodie,21,1081,Regular,22701
2025-01-12,S102,Clothing,Hoodie,18,589,Regular,10602
2025-01-12,S104,Electronics,Headphones,22,3056,Loyalty,67232
2025-01-12,S105,Electronics,Headphones,20,2558,Regular,51160
2025-01-12,S103,Electronics,Headphones,6,1667,Loyalty,10002
2025-01-12,S101,Electronics,Keyboard,2,59,Regular,118
2025-01-12,S103,Clothing,Jeans,13,1078,Loyalty,14014
2025-01-12,S101,Electronics,Mouse,18,273,Loyalty,4914
2025-01-12,S105,Electronics,Keyboard,22,2924,Loyalty,64328
2025-01-12,S101,Electronics,Headphones,2,2202,Loyalty,4404
2025-01-12,S105,Grocery,Rice,16,2920,Regular,46720
2025-01-13,S105,Electronics,Headphones,6,2868,Loyalty,17208
2025-01-13,S105,Grocery,Rice,5,763,Regular,3815
2025-01-13,S105,Grocery,Rice,14,2554,Regular,35756
2025-01-13,S105,Electronics,Keyboard,13,3893,Regular,50609
2025-01-13,S102,Electronics,Headphones,8,1624,Regular,12992
2025-01-13,S103,Clothing,Jeans,18,317,Loyalty,5706
2025-01-13,S105,Clothing,Hoodie,17,673,Loyalty,11441
2025-01-13,S105,Grocery,Bread,21,627,Loyalty,13167
2025-01-13,S104,Grocery,Bread,2,2903,Regular,5806
2025-01-13,S103,Clothing,Jeans,19,496,Regular,9424
2025-01-13,S101,Electronics,Mouse,24,1408,Regular,33792
2025-01-13,S102,Clothing,Jacket,19,2178,Loyalty,41382
2025-01-14,S102,Electronics,Smart Watch,24,3522,Regular,84528
2025-01-14,S104,Electronics,Smart Watch,24,118,Regular,2832
2025-01-14,S102,Clothing,T-Shirt,13,2223,Loyalty,28899
2025-01-14,S103,Grocery,Eggs,19,2208,Loyalty,41952
2025-01-14,S103,Grocery,Bread,22,1985,Regular,43670
2025-01-14,S103,Electronics,Keyboard,18,110,Regular,1980
2025-01-14,S105,Grocery,Bread,5,1539,Regular,7695
2025-01-14,S105,Clothing,T-Shirt,6,3634,Loyalty,21804
2025-01-14,S102,Electronics,Smart Watch,14,2643,Loyalty,37002
2025-01-14,S105,Clothing,Jeans,9,2891,Loyalty,26019
2025-01-14,S103,Grocery,Rice,16,3694,Loyalty,59104
2025-01-14,S101,Clothing,Hoodie,8,674,Loyalty,5392
2025-01-15,S102,Electronics,Smart Watch,23,2175,Regular,50025
2025-01-15,S102,Clothing,T-Shirt,14,2796,Regular,39144
2025-01-15,S103,Grocery,Bread,15,968,Regular,14520
2025-01-15,S104,Grocery,Bread,13,3395,Regular,44135
2025-01-15,S103,Clothing,Jacket,15,1265,Loyalty,18975
2025-01-15,S104,Grocery,Rice,10,1112,Loyalty,11120
2025-01-15,S102,Electronics,Keyboard,12,586,Loyalty,7032
2025-01-15,S101,Electronics,Smart Watch,4,3515,Loyalty,14060
2025-01-15,S102,Electronics,Headphones,15,2325,Loyalty,34875
2025-01-15,S101,Clothing,Jeans,12,2692,Regular,32304
2025-01-15,S104,Electronics,Headphones,2,3564,Regular,7128
2025-01-15,S105,Grocery,Rice,1,1510,Regular,1510
2025-01-16,S104,Electronics,Mouse,11,3567,Regular,39237
2025-01-16,S101,Clothing,Jacket,23,2996,Loyalty,68908
2025-01-16,S105,Grocery,Eggs,4,969,Loyalty,3876
2025-01-16,S104,Clothing,Jeans,11,53,Loyalty,583
2025-01-16,S101,Clothing,Jeans,24,2071,Loyalty,49704
2025-01-16,S102,Clothing,T-Shirt,15,2812,Regular,42180
2025-01-16,S105,Clothing,Jacket,12,1718,Regular,20616
2025-01-16,S104,Clothing,Jeans,19,773,Loyalty,14687
2025-01-16,S101,Electronics,Smart Watch,14,369,Regular,5166
2025-01-16,S103,Electronics,Mouse,4,2942,Loyalty,11768
2025-01-16,S102,Grocery,Rice,24,59,Loyalty,1416
2025-01-16,S104,Grocery,Milk,2,2110,Regular,4220
2025-01-17,S101,Clothing,Hoodie,5,2426,Loyalty,12130
2025-01-17,S103,Electronics,Keyboard,17,1654,Regular,28118
